set_id,name,year,theme,subtheme,themeGroup,category,pieces,minifigs,agerange_min,US_retailPrice,bricksetURL,thumbnailURL,imageURL
7890-1,Ambulance,2006,City,Medical,Modern day,Normal,118,1,5,7.99,https://brickset.com/sets/7890-1,https://images.brickset.com/sets/small/7890-1.jpg,https://images.brickset.com/sets/images/7890-1.jpg
7892-1,Hospital,2006,City,Medical,Modern day,Normal,382,4,5,49.99,https://brickset.com/sets/7892-1,https://images.brickset.com/sets/small/7892-1.jpg,https://images.brickset.com/sets/images/7892-1.jpg
7893-1,Passenger Plane,2006,City,Airport,Modern day,Normal,401,4,5,39.99,https://brickset.com/sets/7893-1,https://images.brickset.com/sets/small/7893-1.jpg,https://images.brickset.com/sets/images/7893-1.jpg
7894-1,Airport,2006,City,Airport,Modern day,Normal,700,5,5,79.99,https://brickset.com/sets/7894-1,https://images.brickset.com/sets/small/7894-1.jpg,https://images.brickset.com/sets/images/7894-1.jpg
7897-1,Passenger Train,2006,City,Trains,Modern day,Normal,501,3,6,89.99,https://brickset.com/sets/7897-1,https://images.brickset.com/sets/small/7897-1.jpg,https://images.brickset.com/sets/images/7897-1.jpg
7901-1,Airplane Mechanic,2006,City,Airport,Modern day,Normal,26,1,5,3.49,https://brickset.com/sets/7901-1,https://images.brickset.com/sets/small/7901-1.jpg,https://images.brickset.com/sets/images/7901-1.jpg
7902-1,Doctor's Car,2006,City,Medical,Modern day,Normal,66,1,5,5.99,https://brickset.com/sets/7902-1,https://images.brickset.com/sets/small/7902-1.jpg,https://images.brickset.com/sets/images/7902-1.jpg
7903-1,Rescue Helicopter,2006,City,Medical,Modern day,Normal,249,3,5,19.99,https://brickset.com/sets/7903-1,https://images.brickset.com/sets/small/7903-1.jpg,https://images.brickset.com/sets/images/7903-1.jpg
8624-1,Race for the Mask of Life,2006,Bionicle,Playsets,Constraction,Normal,507,8,8,59.99,https://brickset.com/sets/8624-1,https://images.brickset.com/sets/small/8624-1.jpg,https://images.brickset.com/sets/images/8624-1.jpg
8672-1,Ferrari Finish Line,2006,Racers,Ferrari,Racing,Normal,573,10,8,60,https://brickset.com/sets/8672-1,https://images.brickset.com/sets/small/8672-1.jpg,https://images.brickset.com/sets/images/8672-1.jpg
8893-1,Lava Chamber Gate,2006,Bionicle,Playsets,Constraction,Normal,373,8,7,39.99,https://brickset.com/sets/8893-1,https://images.brickset.com/sets/small/8893-1.jpg,https://images.brickset.com/sets/images/8893-1.jpg
10176-1,King's Castle,2006,Castle,Knights' Kingdom II,Historical,Normal,869,12,8,99.99,https://brickset.com/sets/10176-1,https://images.brickset.com/sets/small/10176-1.jpg,https://images.brickset.com/sets/images/10176-1.jpg
4825-1,Princess and Horse,2007,Duplo,Princess Castle,Pre-school,Normal,8,1,3,9.99,https://brickset.com/sets/4825-1,https://images.brickset.com/sets/small/4825-1.jpg,https://images.brickset.com/sets/images/4825-1.jpg
4826-1,Princess and Pony Picnic,2007,Duplo,Princess Castle,Pre-school,Normal,19,1,3,19.99,https://brickset.com/sets/4826-1,https://images.brickset.com/sets/small/4826-1.jpg,https://images.brickset.com/sets/images/4826-1.jpg
4828-1,Princess Royal Stables,2007,Duplo,Princess Castle,Pre-school,Normal,49,2,3,39.99,https://brickset.com/sets/4828-1,https://images.brickset.com/sets/small/4828-1.jpg,https://images.brickset.com/sets/images/4828-1.jpg
4861-1,Police Boat,2007,Duplo,LEGO Ville,Pre-school,Normal,27,3,2,24.99,https://brickset.com/sets/4861-1,https://images.brickset.com/sets/small/4861-1.jpg,https://images.brickset.com/sets/images/4861-1.jpg
5378-1,Hogwarts Castle,2007,Harry Potter,Order of the Phoenix,Licensed,Normal,943,9,7,89.99,https://brickset.com/sets/5378-1,https://images.brickset.com/sets/small/5378-1.jpg,https://images.brickset.com/sets/images/5378-1.jpg
7093-1,Skeleton Tower,2007,Castle,Fantasy Era,Historical,Normal,398,5,7,49.99,https://brickset.com/sets/7093-1,https://images.brickset.com/sets/small/7093-1.jpg,https://images.brickset.com/sets/images/7093-1.jpg
8144-1,Ferrari 248 F1 Team (Michael Schumacher Edition),2007,Racers,Ferrari,Racing,Normal,726,8,8,69.99,https://brickset.com/sets/8144-1,https://images.brickset.com/sets/small/8144-1.jpg,https://images.brickset.com/sets/images/8144-1.jpg
10178-1,Motorized Walking AT-AT,2007,Star Wars,Episode V,Licensed,Normal,1137,4,14,129.99,https://brickset.com/sets/10178-1,https://images.brickset.com/sets/small/10178-1.jpg,https://images.brickset.com/sets/images/10178-1.jpg
10179-1,Ultimate Collector's Millennium Falcon,2007,Star Wars,Ultimate Collector Series,Licensed,Normal,5197,5,16,499.99,https://brickset.com/sets/10179-1,https://images.brickset.com/sets/small/10179-1.jpg,https://images.brickset.com/sets/images/10179-1.jpg
10182-1,Cafe Corner,2007,Advanced models,Modular Buildings Collection,Model making,Normal,2056,3,16,139.99,https://brickset.com/sets/10182-1,https://images.brickset.com/sets/small/10182-1.jpg,https://images.brickset.com/sets/images/10182-1.jpg
10190-1,Market Street,2007,Advanced models,Modular Buildings Collection,Model making,Normal,1248,3,10,89.99,https://brickset.com/sets/10190-1,https://images.brickset.com/sets/small/10190-1.jpg,https://images.brickset.com/sets/images/10190-1.jpg
7623-1,Temple Escape,2008,Indiana Jones,Raiders of the Lost Ark,Licensed,Normal,554,6,8,59.99,https://brickset.com/sets/7623-1,https://images.brickset.com/sets/small/7623-1.jpg,https://images.brickset.com/sets/images/7623-1.jpg
7667-1,Imperial Dropship,2008,Star Wars,Original Content,Licensed,Normal,81,4,6,9.99,https://brickset.com/sets/7667-1,https://images.brickset.com/sets/small/7667-1.jpg,https://images.brickset.com/sets/images/7667-1.jpg
7676-1,Republic Attack Gunship,2008,Star Wars,The Clone Wars,Licensed,Normal,1034,7,9,119.99,https://brickset.com/sets/7676-1,https://images.brickset.com/sets/small/7676-1.jpg,https://images.brickset.com/sets/images/7676-1.jpg
7731-1,Mail Van,2008,City,Traffic,Modern day,Normal,66,1,5,7.99,https://brickset.com/sets/7731-1,https://images.brickset.com/sets/small/7731-1.jpg,https://images.brickset.com/sets/images/7731-1.jpg
7741-1,Police Helicopter,2008,City,Police,Modern day,Normal,94,1,5,9.99,https://brickset.com/sets/7741-1,https://images.brickset.com/sets/small/7741-1.jpg,https://images.brickset.com/sets/images/7741-1.jpg
10184-1,Town Plan,2008,Advanced models,Miscellaneous,Model making,Normal,1981,8,12,149.99,https://brickset.com/sets/10184-1,https://images.brickset.com/sets/small/10184-1.jpg,https://images.brickset.com/sets/images/10184-1.jpg
10185-1,Green Grocer,2008,Advanced models,Modular Buildings Collection,Model making,Normal,2352,4,16,149.99,https://brickset.com/sets/10185-1,https://images.brickset.com/sets/small/10185-1.jpg,https://images.brickset.com/sets/images/10185-1.jpg
10188-1,Death Star,2008,Star Wars,Ultimate Collector Series,Licensed,Normal,3803,24,12,399.99,https://brickset.com/sets/10188-1,https://images.brickset.com/sets/small/10188-1.jpg,https://images.brickset.com/sets/images/10188-1.jpg
10191-1,Star Justice,2008,Factory,Space,Miscellaneous,Normal,895,8,10,99.99,https://brickset.com/sets/10191-1,https://images.brickset.com/sets/small/10191-1.jpg,https://images.brickset.com/sets/images/10191-1.jpg
10192-1,Space Skulls,2008,Factory,Space,Miscellaneous,Normal,956,4,10,99.99,https://brickset.com/sets/10192-1,https://images.brickset.com/sets/small/10192-1.jpg,https://images.brickset.com/sets/images/10192-1.jpg
10200-1,Custom Car Garage,2008,Factory,Custom Cars,Miscellaneous,Normal,893,4,10,69.99,https://brickset.com/sets/10200-1,https://images.brickset.com/sets/small/10200-1.jpg,https://images.brickset.com/sets/images/10200-1.jpg
852331-1,Vintage Minifigure Collection Vol. 1,2008,Miscellaneous,Minifigure collection,Miscellaneous,Extended,21,5,6,17.99,https://brickset.com/sets/852331-1,https://images.brickset.com/sets/small/852331-1.jpg,https://images.brickset.com/sets/images/852331-1.jpg
3594-1,Bob's Workshop,2009,Duplo,Bob the Builder,Pre-school,Normal,14,2,2,14.99,https://brickset.com/sets/3594-1,https://images.brickset.com/sets/small/3594-1.jpg,https://images.brickset.com/sets/images/3594-1.jpg
3595-1,Scoop at Bobland Bay,2009,Duplo,Bob the Builder,Pre-school,Normal,28,1,2,19.99,https://brickset.com/sets/3595-1,https://images.brickset.com/sets/small/3595-1.jpg,https://images.brickset.com/sets/images/3595-1.jpg
3596-1,Muck Can Do It,2009,Duplo,Bob the Builder,Pre-school,Normal,39,1,2,29.99,https://brickset.com/sets/3596-1,https://images.brickset.com/sets/small/3596-1.jpg,https://images.brickset.com/sets/images/3596-1.jpg
3597-1,Lofty and Dizzy Hard At Work,2009,Duplo,Bob the Builder,Pre-school,Normal,51,3,2,39.99,https://brickset.com/sets/3597-1,https://images.brickset.com/sets/small/3597-1.jpg,https://images.brickset.com/sets/images/3597-1.jpg
3841-1,Minotaurus,2009,Games,Minotaurus,Miscellaneous,Normal,211,12,7,24.99,https://brickset.com/sets/3841-1,https://images.brickset.com/sets/small/3841-1.jpg,https://images.brickset.com/sets/images/3841-1.jpg
3843-1,Ramses Pyramid ,2009,Games,Ramses,Miscellaneous,Normal,217,13,8,29.99,https://brickset.com/sets/3843-1,https://images.brickset.com/sets/small/3843-1.jpg,https://images.brickset.com/sets/images/3843-1.jpg
3844-1,Creationary ,2009,Games,Creationary,Miscellaneous,Normal,338,2,7,34.99,https://brickset.com/sets/3844-1,https://images.brickset.com/sets/small/3844-1.jpg,https://images.brickset.com/sets/images/3844-1.jpg
5545-1,Stanley at Great Waterton,2009,Duplo,Thomas the Tank Engine,Pre-school,Normal,19,1,2,19.99,https://brickset.com/sets/5545-1,https://images.brickset.com/sets/small/5545-1.jpg,https://images.brickset.com/sets/images/5545-1.jpg
5546-1,Thomas at Morgan's Mine,2009,Duplo,Thomas the Tank Engine,Pre-school,Normal,22,1,2,29.99,https://brickset.com/sets/5546-1,https://images.brickset.com/sets/small/5546-1.jpg,https://images.brickset.com/sets/images/5546-1.jpg
5547-1,James Celebrates Sodor Day,2009,Duplo,Thomas the Tank Engine,Pre-school,Normal,34,2,2,29.99,https://brickset.com/sets/5547-1,https://images.brickset.com/sets/small/5547-1.jpg,https://images.brickset.com/sets/images/5547-1.jpg
5592-1,My First Plane,2009,Duplo,LEGO Ville,Pre-school,Normal,8,2,1,14.99,https://brickset.com/sets/5592-1,https://images.brickset.com/sets/small/5592-1.jpg,https://images.brickset.com/sets/images/5592-1.jpg
5594-1,Cargo Plane,2009,Duplo,LEGO Ville,Pre-school,Normal,28,2,2,49.99,https://brickset.com/sets/5594-1,https://images.brickset.com/sets/small/5594-1.jpg,https://images.brickset.com/sets/images/5594-1.jpg
5632-1,Animal Care,2009,Duplo,LEGO Ville,Pre-school,Normal,4,1,1,7.99,https://brickset.com/sets/5632-1,https://images.brickset.com/sets/small/5632-1.jpg,https://images.brickset.com/sets/images/5632-1.jpg
5633-1,Polar Zoo,2009,Duplo,LEGO Ville,Pre-school,Normal,32,1,2,29.99,https://brickset.com/sets/5633-1,https://images.brickset.com/sets/small/5633-1.jpg,https://images.brickset.com/sets/images/5633-1.jpg
5634-1,Feeding Zoo,2009,Duplo,LEGO Ville,Pre-school,Normal,53,3,2,49.99,https://brickset.com/sets/5634-1,https://images.brickset.com/sets/small/5634-1.jpg,https://images.brickset.com/sets/images/5634-1.jpg
5635-1,Big City Zoo,2009,Duplo,LEGO Ville,Pre-school,Normal,125,4,2,89.99,https://brickset.com/sets/5635-1,https://images.brickset.com/sets/small/5635-1.jpg,https://images.brickset.com/sets/images/5635-1.jpg
5636-1,Bus,2009,Duplo,LEGO Ville,Pre-school,Normal,14,3,2,24.99,https://brickset.com/sets/5636-1,https://images.brickset.com/sets/small/5636-1.jpg,https://images.brickset.com/sets/images/5636-1.jpg
5637-1,Garbage Truck,2009,Duplo,LEGO Ville,Pre-school,Normal,12,1,2,16.99,https://brickset.com/sets/5637-1,https://images.brickset.com/sets/small/5637-1.jpg,https://images.brickset.com/sets/images/5637-1.jpg
5638-1,Postman,2009,Duplo,LEGO Ville,Pre-school,Normal,9,1,2,9.99,https://brickset.com/sets/5638-1,https://images.brickset.com/sets/small/5638-1.jpg,https://images.brickset.com/sets/images/5638-1.jpg
5639-1,Family House,2009,Duplo,LEGO Ville,Pre-school,Normal,71,4,2,69.99,https://brickset.com/sets/5639-1,https://images.brickset.com/sets/small/5639-1.jpg,https://images.brickset.com/sets/images/5639-1.jpg
5640-1,Petrol Station,2009,Duplo,LEGO Ville,Pre-school,Normal,24,1,3,24.99,https://brickset.com/sets/5640-1,https://images.brickset.com/sets/small/5640-1.jpg,https://images.brickset.com/sets/images/5640-1.jpg
5641-1,Busy Garage,2009,Duplo,LEGO Ville,Pre-school,Normal,51,2,3,49.99,https://brickset.com/sets/5641-1,https://images.brickset.com/sets/small/5641-1.jpg,https://images.brickset.com/sets/images/5641-1.jpg
5969-1,Squidman Escape,2009,Space,Space Police 3,Action/Adventure,Normal,42,2,6,5.99,https://brickset.com/sets/5969-1,https://images.brickset.com/sets/small/5969-1.jpg,https://images.brickset.com/sets/images/5969-1.jpg
5970-1,Freeze Ray Frenzy,2009,Space,Space Police 3,Action/Adventure,Normal,80,2,6,9.99,https://brickset.com/sets/5970-1,https://images.brickset.com/sets/small/5970-1.jpg,https://images.brickset.com/sets/images/5970-1.jpg
5971-1,Gold Heist,2009,Space,Space Police 3,Action/Adventure,Normal,205,2,7,19.99,https://brickset.com/sets/5971-1,https://images.brickset.com/sets/small/5971-1.jpg,https://images.brickset.com/sets/images/5971-1.jpg
5972-1,Container Heist,2009,Space,Space Police 3,Action/Adventure,Normal,282,2,7,29.99,https://brickset.com/sets/5972-1,https://images.brickset.com/sets/small/5972-1.jpg,https://images.brickset.com/sets/images/5972-1.jpg
5973-1,Hyperspeed Pursuit,2009,Space,Space Police 3,Action/Adventure,Normal,456,3,7,49.99,https://brickset.com/sets/5973-1,https://images.brickset.com/sets/small/5973-1.jpg,https://images.brickset.com/sets/images/5973-1.jpg
5974-1,Galactic Enforcer,2009,Space,Space Police 3,Action/Adventure,Normal,825,7,8,99.99,https://brickset.com/sets/5974-1,https://images.brickset.com/sets/small/5974-1.jpg,https://images.brickset.com/sets/images/5974-1.jpg
5979-1,Max Security Transport,2009,Space,Space Police 3,Action/Adventure,Normal,330,3,7,39.99,https://brickset.com/sets/5979-1,https://images.brickset.com/sets/small/5979-1.jpg,https://images.brickset.com/sets/images/5979-1.jpg
5980-1,Squidman's Pitstop,2009,Space,Space Police 3,Action/Adventure,Normal,389,4,7,49.99,https://brickset.com/sets/5980-1,https://images.brickset.com/sets/small/5980-1.jpg,https://images.brickset.com/sets/images/5980-1.jpg
7078-1,King's Battle Chariot,2009,Castle,Fantasy Era,Historical,Normal,103,4,6,19.99,https://brickset.com/sets/7078-1,https://images.brickset.com/sets/small/7078-1.jpg,https://images.brickset.com/sets/images/7078-1.jpg
7079-1,Drawbridge Defense,2009,Castle,Fantasy Era,Historical,Normal,335,7,7,39.99,https://brickset.com/sets/7079-1,https://images.brickset.com/sets/small/7079-1.jpg,https://images.brickset.com/sets/images/7079-1.jpg
7097-1,Trolls' Mountain Fortress,2009,Castle,Fantasy Era,Historical,Normal,844,10,7,99.99,https://brickset.com/sets/7097-1,https://images.brickset.com/sets/small/7097-1.jpg,https://images.brickset.com/sets/images/7097-1.jpg
7195-1,Ambush In Cairo,2009,Indiana Jones,Raiders of the Lost Ark,Licensed,Normal,79,4,6,10.99,https://brickset.com/sets/7195-1,https://images.brickset.com/sets/small/7195-1.jpg,https://images.brickset.com/sets/images/7195-1.jpg
7196-1,Chauchilla Cemetery Battle,2009,Indiana Jones,Kingdom of the Crystal Skull,Licensed,Normal,187,5,7,19.99,https://brickset.com/sets/7196-1,https://images.brickset.com/sets/small/7196-1.jpg,https://images.brickset.com/sets/images/7196-1.jpg
7197-1,Venice Canal Chase,2009,Indiana Jones,Last Crusade,Licensed,Normal,420,4,7,39.99,https://brickset.com/sets/7197-1,https://images.brickset.com/sets/small/7197-1.jpg,https://images.brickset.com/sets/images/7197-1.jpg
7198-1,Fighter Plane Attack,2009,Indiana Jones,Last Crusade,Licensed,Normal,384,3,7,49.99,https://brickset.com/sets/7198-1,https://images.brickset.com/sets/small/7198-1.jpg,https://images.brickset.com/sets/images/7198-1.jpg
7199-1,The Temple of Doom,2009,Indiana Jones,Temple of Doom,Licensed,Normal,652,6,8,89.99,https://brickset.com/sets/7199-1,https://images.brickset.com/sets/small/7199-1.jpg,https://images.brickset.com/sets/images/7199-1.jpg
7630-1,Front-End Loader,2009,City,Construction,Modern day,Normal,108,1,5,12.99,https://brickset.com/sets/7630-1,https://images.brickset.com/sets/small/7630-1.jpg,https://images.brickset.com/sets/images/7630-1.jpg
7631-1,Dump Truck,2009,City,Construction,Modern day,Normal,189,1,5,19.99,https://brickset.com/sets/7631-1,https://images.brickset.com/sets/small/7631-1.jpg,https://images.brickset.com/sets/images/7631-1.jpg
7632-1,Crawler Crane,2009,City,Construction,Modern day,Normal,481,2,5,59.99,https://brickset.com/sets/7632-1,https://images.brickset.com/sets/small/7632-1.jpg,https://images.brickset.com/sets/images/7632-1.jpg
7633-1,Construction Site,2009,City,Construction,Modern day,Normal,898,5,6,99.99,https://brickset.com/sets/7633-1,https://images.brickset.com/sets/small/7633-1.jpg,https://images.brickset.com/sets/images/7633-1.jpg
7634-1,Tractor,2009,City,Farm,Modern day,Normal,78,1,5,12.99,https://brickset.com/sets/7634-1,https://images.brickset.com/sets/small/7634-1.jpg,https://images.brickset.com/sets/images/7634-1.jpg
7635-1,4WD with Horse Trailer,2009,City,Farm,Modern day,Normal,176,2,5,17.48,https://brickset.com/sets/7635-1,https://images.brickset.com/sets/small/7635-1.jpg,https://images.brickset.com/sets/images/7635-1.jpg
7636-1,Combine Harvester,2009,City,Farm,Modern day,Normal,360,1,5,44.99,https://brickset.com/sets/7636-1,https://images.brickset.com/sets/small/7636-1.jpg,https://images.brickset.com/sets/images/7636-1.jpg
7637-1,Farm,2009,City,Farm,Modern day,Normal,609,3,5,89.99,https://brickset.com/sets/7637-1,https://images.brickset.com/sets/small/7637-1.jpg,https://images.brickset.com/sets/images/7637-1.jpg
7638-1,Tow Truck,2009,City,Traffic,Modern day,Normal,129,1,5,12.99,https://brickset.com/sets/7638-1,https://images.brickset.com/sets/small/7638-1.jpg,https://images.brickset.com/sets/images/7638-1.jpg
7639-1,Camper,2009,City,Great Outdoors,Modern day,Normal,165,2,5,16.99,https://brickset.com/sets/7639-1,https://images.brickset.com/sets/small/7639-1.jpg,https://images.brickset.com/sets/images/7639-1.jpg
7641-1,City Corner,2009,City,Town,Modern day,Normal,483,5,5,59.99,https://brickset.com/sets/7641-1,https://images.brickset.com/sets/small/7641-1.jpg,https://images.brickset.com/sets/images/7641-1.jpg
7642-1,Garage,2009,City,Town,Modern day,Normal,953,4,6,99.99,https://brickset.com/sets/7642-1,https://images.brickset.com/sets/small/7642-1.jpg,https://images.brickset.com/sets/images/7642-1.jpg
7682-1,Shanghai Chase,2009,Indiana Jones,Temple of Doom,Licensed,Normal,244,5,7,29.99,https://brickset.com/sets/7682-1,https://images.brickset.com/sets/small/7682-1.jpg,https://images.brickset.com/sets/images/7682-1.jpg
7683-1,Fight on the Flying Wing,2009,Indiana Jones,Raiders of the Lost Ark,Licensed,Normal,376,4,8,49.99,https://brickset.com/sets/7683-1,https://images.brickset.com/sets/small/7683-1.jpg,https://images.brickset.com/sets/images/7683-1.jpg
7685-1,Dozer,2009,City,Construction,Modern day,Normal,352,1,5,39.99,https://brickset.com/sets/7685-1,https://images.brickset.com/sets/small/7685-1.jpg,https://images.brickset.com/sets/images/7685-1.jpg
7686-1,Helicopter Transporter,2009,City,Traffic,Modern day,Normal,377,3,5,39.99,https://brickset.com/sets/7686-1,https://images.brickset.com/sets/small/7686-1.jpg,https://images.brickset.com/sets/images/7686-1.jpg
7687-1,City Advent Calendar,2009,City,Seasonal,Modern day,Normal,257,9,5,29.99,https://brickset.com/sets/7687-1,https://images.brickset.com/sets/small/7687-1.jpg,https://images.brickset.com/sets/images/7687-1.jpg
7746-1,Single-Drum Roller,2009,City,Construction,Modern day,Normal,208,2,5,29.99,https://brickset.com/sets/7746-1,https://images.brickset.com/sets/small/7746-1.jpg,https://images.brickset.com/sets/images/7746-1.jpg
7747-1,Wind Turbine Transport,2009,City,General,Modern day,Normal,444,2,5,59.99,https://brickset.com/sets/7747-1,https://images.brickset.com/sets/small/7747-1.jpg,https://images.brickset.com/sets/images/7747-1.jpg
7748-1,Corporate Alliance Tank Droid,2009,Star Wars,The Clone Wars,Licensed,Normal,216,4,7,24.99,https://brickset.com/sets/7748-1,https://images.brickset.com/sets/small/7748-1.jpg,https://images.brickset.com/sets/images/7748-1.jpg
7749-1,Echo Base,2009,Star Wars,Episode V,Licensed,Normal,155,5,7,24.99,https://brickset.com/sets/7749-1,https://images.brickset.com/sets/small/7749-1.jpg,https://images.brickset.com/sets/images/7749-1.jpg
7751-1,Ahsoka's Starfighter and Vulture Droid,2009,Star Wars,The Clone Wars,Licensed,Normal,291,4,8,39.99,https://brickset.com/sets/7751-1,https://images.brickset.com/sets/small/7751-1.jpg,https://images.brickset.com/sets/images/7751-1.jpg
7752-1,Count Dooku's Solar Sailer,2009,Star Wars,The Clone Wars,Licensed,Normal,385,4,8,54.99,https://brickset.com/sets/7752-1,https://images.brickset.com/sets/small/7752-1.jpg,https://images.brickset.com/sets/images/7752-1.jpg
7753-1,Pirate Tank,2009,Star Wars,The Clone Wars,Licensed,Normal,372,3,8,39.99,https://brickset.com/sets/7753-1,https://images.brickset.com/sets/small/7753-1.jpg,https://images.brickset.com/sets/images/7753-1.jpg
7754-1,Home One Mon Calamari Star Cruiser,2009,Star Wars,Episode VI,Licensed,Normal,789,6,9,109.99,https://brickset.com/sets/7754-1,https://images.brickset.com/sets/small/7754-1.jpg,https://images.brickset.com/sets/images/7754-1.jpg
8014-1,Clone Walker Battle Pack,2009,Star Wars,The Clone Wars,Licensed,Normal,72,4,6,11.99,https://brickset.com/sets/8014-1,https://images.brickset.com/sets/small/8014-1.jpg,https://images.brickset.com/sets/images/8014-1.jpg
8015-1,Assassin Droids Battle Pack,2009,Star Wars,The Clone Wars,Licensed,Normal,94,5,6,11.99,https://brickset.com/sets/8015-1,https://images.brickset.com/sets/small/8015-1.jpg,https://images.brickset.com/sets/images/8015-1.jpg
8016-1,Hyena Droid Bomber,2009,Star Wars,The Clone Wars,Licensed,Normal,232,3,7,19.99,https://brickset.com/sets/8016-1,https://images.brickset.com/sets/small/8016-1.jpg,https://images.brickset.com/sets/images/8016-1.jpg
8017-1,Darth Vader's TIE Fighter,2009,Star Wars,Episode IV,Licensed,Normal,251,1,7,29.99,https://brickset.com/sets/8017-1,https://images.brickset.com/sets/small/8017-1.jpg,https://images.brickset.com/sets/images/8017-1.jpg
8018-1,Armored Assault Tank (AAT),2009,Star Wars,The Clone Wars,Licensed,Normal,407,7,8,49.99,https://brickset.com/sets/8018-1,https://images.brickset.com/sets/small/8018-1.jpg,https://images.brickset.com/sets/images/8018-1.jpg
8019-1,Republic Attack Shuttle,2009,Star Wars,The Clone Wars,Licensed,Normal,636,3,8,59.99,https://brickset.com/sets/8019-1,https://images.brickset.com/sets/small/8019-1.jpg,https://images.brickset.com/sets/images/8019-1.jpg
8036-1,Separatist Shuttle,2009,Star Wars,The Clone Wars,Licensed,Normal,259,5,7,29.99,https://brickset.com/sets/8036-1,https://images.brickset.com/sets/small/8036-1.jpg,https://images.brickset.com/sets/images/8036-1.jpg
8037-1,Anakin's Y-wing Starfighter,2009,Star Wars,The Clone Wars,Licensed,Normal,570,3,8,59.99,https://brickset.com/sets/8037-1,https://images.brickset.com/sets/small/8037-1.jpg,https://images.brickset.com/sets/images/8037-1.jpg
8038-1,The Battle of Endor,2009,Star Wars,Episode VI,Licensed,Normal,890,12,9,99.99,https://brickset.com/sets/8038-1,https://images.brickset.com/sets/small/8038-1.jpg,https://images.brickset.com/sets/images/8038-1.jpg
8039-1,Venator-Class Republic Attack Cruiser,2009,Star Wars,The Clone Wars,Licensed,Normal,1170,5,9,119.99,https://brickset.com/sets/8039-1,https://images.brickset.com/sets/small/8039-1.jpg,https://images.brickset.com/sets/images/8039-1.jpg
8168-1,Ferrari Victory,2009,Racers,Ferrari,Racing,Normal,202,3,7,19.99,https://brickset.com/sets/8168-1,https://images.brickset.com/sets/small/8168-1.jpg,https://images.brickset.com/sets/images/8168-1.jpg
8185-1,Ferrari Truck,2009,Racers,Ferrari,Racing,Normal,534,5,8,79.99,https://brickset.com/sets/8185-1,https://images.brickset.com/sets/small/8185-1.jpg,https://images.brickset.com/sets/images/8185-1.jpg
8398-1,BBQ Stand,2009,City,General,Modern day,Normal,22,1,5,3.49,https://brickset.com/sets/8398-1,https://images.brickset.com/sets/small/8398-1.jpg,https://images.brickset.com/sets/images/8398-1.jpg
8399-1,K-9 Bot,2009,Space,Space Police 3,Action/Adventure,Normal,22,1,5,3.49,https://brickset.com/sets/8399-1,https://images.brickset.com/sets/small/8399-1.jpg,https://images.brickset.com/sets/images/8399-1.jpg
8400-1,Space Speeder,2009,Space,Space Police 3,Action/Adventure,Normal,14,1,5,3.49,https://brickset.com/sets/8400-1,https://images.brickset.com/sets/small/8400-1.jpg,https://images.brickset.com/sets/images/8400-1.jpg
